,count_down,movie_title,release_year,tomato_score,lead_role,actor_two,actor_three,actor_four,director,critics_consensus,synopsis,Opening,Studio,Medium
27,113,The City of Lost Children,1995,79,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Marc Caro,"Not all of its many intriguing ideas are developed, but The City of Lost Children is an engrossing, disturbing, profoundly memorable experience.",Old and decrepit Krank (Daniel Emilfork) has lost his capacity for dreaming and is attempting to fight death by stealing... [More],MAY,Sony Pictures Classics,Live action
28,112,American Beauty,1999,87,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Sam Mendes,"Flawlessly cast and brimming with dark, acid wit, American Beauty is a smart, provocative high point of late '90s mainstream Hollywood film.","Lester Burnham (Kevin Spacey) is a gainfully employed suburban husband and father. Fed up with his boring, stagnant existence, he... [More]",OCTOBER,DreamWorks,Live action
29,111,Satan's Tango,1994,100,Mihaly Vig,Putyi Horvath,János Derzsi,Miklós B. Székely,Béla Tarr,No consensus yet.,"In Bela Tarr's seven-hour episodic film, inhabitants of a small village in Hungary deal with the effects of the fall... [More]",,,
30,110,My Own Private Idaho,1991,80,River Phoenix,Keanu Reeves,James Russo,William Richert,Gus Van Sant,"A tantalizing glimpse of a talented director and his stars all at the top of their respective games, Gus Van Sant's loose reworking of Henry IV is smart, sad and audacious.","In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters (River Phoenix) is a gay hustler afflicted with narcolepsy. Scott... [More]",OCTOBER,Fine Line Features,Live action
31,109,Glengarry Glen Ross,1992,95,Al Pacino,Jack Lemmon,Alec Baldwin,Ed Harris,James Foley,"This adaptation of David Mamet's play is every bit as compelling and witty as its source material, thanks in large part to a clever script and a bevy of powerhouse actors.",When an office full of New York City real estate salesmen is given the news that all but the top... [More],OCTOBER,New Line Cinema,Live action
32,108,The Birdcage,1996,82,Robin Williams,Gene Hackman,Nathan Lane,Dianne Wiest,Mike Nichols,"Mike Nichols wrangles agreeably amusing performances from Robin Williams and Nathan Lane in this fun, if not quite essential, remake of the French comedy La Cage aux Folles.","In this remake of the classic French farce ""La Cage aux Folles,"" engaged couple Val Goldman (Dan Futterman) and Barbara... [More]",MARCH,United Artists,Live action
33,107,American Pie,1999,61,Jason Biggs,Shannon Elizabeth,Alyson Hannigan,Chris Klein,Paul Weitz,"So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre.","A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as... [More]",JULY,Universal Pictures,Live action
34,106,Babe,1995,97,James Cromwell,Magda Szubanski,Hugo Weaving,Mary Acres,Chris Noonan,"The rare family-friendly feature with a heart as big as its special effects budget, Babe offers timeless entertainment for viewers of all ages.",Gentle farmer Arthur Hoggett (James Cromwell) wins a piglet named Babe (Christine Cavanaugh) at a county fair. Narrowly escaping his... [More],AUGUST,Universal Pictures,Live action
35,105,Raise the Red Lantern,1991,97,Gong Li,Ma Jingwu,He Caifei,Cao Cuifeng,Yimou Zhang,"Visually thrilling and rich with emotion, Raise the Red Lantern offers an engrossing period drama anchored by an outstanding performance from Gong Li.","Teenage Songlian (Gong Li), whose family has been devastated by the recent death of her father, becomes the third concubine... [More]",MARCH,Orion Classics,Live action
36,104,House Party,1990,93,Robin Harris,Christopher Reid,Christopher Martin,Martin Lawrence,Reginald Hudlin,"House Party is a light, entertaining teen comedy with an infectious energy.","Play's parents are out of town, and he's planning the house party to end all house parties. His best friend,... [More]",MARCH,New Line Cinema,Live action
37,103,Rumble in the Bronx,1995,80,Jackie Chan,Anita Mui,Bill Tung,Françoise Yip,Stanley Tong,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a... [More]",,,
38,102,Army of Darkness,1992,74,Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie,Sam Raimi,"Army of Darkness is a madcap adventure worth taking thanks to Bruce Campbell's hammy charm and Sam Raimi's acrobatic direction, although an intentional lack of shocks make this a discordant capper to the Evil Dead franchise.","3rd Evil Dead movie. Ash (Bruce Campbell) finds himself trapped in medieval times. He must quest for the Necronomicon, a... [More]",FEBRUARY,Universal Pictures,Live action
39,101,The Fifth Element,1997,71,Bruce Willis,Gary Oldman,Ian Holm,Milla Jovovich,Luc Besson,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in... [More]",MAY,Columbia Pictures,Live action
40,100,Sleepless in Seattle,1993,75,Tom Hanks,Meg Ryan,Bill Pullman,Ross Mallinger,Nora Ephron,Sleepless in Seattle is a cute classic with a very light touch and real chemistry between the two leads -- even when spending an entire movie apart.,"After the death of his wife, Sam Baldwin (Tom Hanks) moves to Seattle with his son, Jonah (Ross Mallinger). When... [More]",JUNE,TriStar Pictures,Live action
41,99,Four Weddings and a Funeral,1994,96,Hugh Grant,Andie MacDowell,Kristin Scott Thomas,Simon Callow,Mike Newell,"While frothy to a fault, Four Weddings and a Funeral features irresistibly breezy humor, and winsome performances from Hugh Grant and Andie MacDowell.",Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a... [More],MARCH,Gramercy Pictures / PolyGram Filmed Entertainment,Live action
42,98,All About My Mother,1999,98,Cecilia Roth,Eloy Azorín,Marisa Paredes,Penélope Cruz,Pedro Almodóvar,"Almodovar weaves together a magnificent tapestry of femininity with an affectionate wink to classics of theater and cinema in this poignant story of love, loss and compassion.",A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does... [More],APRIL,Sony Pictures Classics,Live action
