,Opening,Title,Studio,Medium
411,JANUARY,Love Crimes,Miramax Films,Live action
412,JANUARY,Hurricane Smith,Warner Bros. Pictures,Live action
413,JANUARY,Into the Sun,Trimark Pictures,Live action
414,JANUARY,Shining Through,20th Century Fox,Live action
415,JANUARY,Voyager,Castle Hill Productions,Live action
416,FEBRUARY,Mississippi Masala,Metro-Goldwyn-Mayer,Live action
417,FEBRUARY,Final Analysis,Warner Bros. Pictures,Live action
418,FEBRUARY,Medicine Man,Hollywood Pictures,Live action
419,FEBRUARY,The Burden of Proof,ABC / Warner Bros. Television Distribution / Mike Robe Productions / Capital Cities / ABC Video Enterprises,Live action
420,FEBRUARY,The Great Mouse Detective (re-release),Walt Disney Pictures,Animation
421,FEBRUARY,Wayne's World,Paramount Pictures,Live action
422,FEBRUARY,Falling from Grace,Columbia Pictures,Live action
423,FEBRUARY,Radio Flyer,Columbia Pictures / Donner/Shuler-Donner Productions,Live action
424,FEBRUARY,Stop! Or My Mom Will Shoot,Universal Pictures / Northern Lights Entertainment,Live action
425,FEBRUARY,This Is My Life,20th Century Fox,Live action
426,FEBRUARY,The Mambo Kings,Warner Bros. Pictures,Live action
427,FEBRUARY,Memoirs of an Invisible Man,Warner Bros. Pictures,Live action
428,FEBRUARY,"For Richer, for Poorer",HBO Pictures / Citadel Entertainment,Live action
429,MARCH,Blame It on the Bellboy,Hollywood Pictures,Live action
430,MARCH,Gladiator,Columbia Pictures,Live action
431,MARCH,The Lawnmower Man,New Line Cinema,Live action
432,MARCH,Meatballs 4,Moviestore Entertainment,Live action
433,MARCH,Once Upon a Crime,Metro-Goldwyn-Mayer,Live action
434,MARCH,Tiny Toon Adventures: How I Spent My Vacation,Warner Home Video,Animation
435,MARCH,American Me,Universal Pictures,Live action
436,MARCH,Article 99,Orion Pictures,Live action
437,MARCH,Howards End,Sony Pictures Classics,Live action
438,MARCH,My Cousin Vinny,20th Century Fox,Live action
439,MARCH,Shakes the Clown,IRS Media,Live action
440,MARCH,Basic Instinct,TriStar Pictures / Carolco Pictures,Live action
441,MARCH,Noises Off,Touchstone Pictures / Amblin Entertainment,Live action
442,MARCH,Proof,Fine Line Features,Live action
443,MARCH,Raise the Red Lantern,Orion Classics,Live action
444,MARCH,Shadows and Fog,Orion Pictures,Live action
445,MARCH,The Cutting Edge,Metro-Goldwyn-Mayer,Live action
446,MARCH,Ladybugs,Paramount Pictures,Live action
447,MARCH,The Power of One,Warner Bros. Pictures,Live action
448,MARCH,Ruby,Triumph Films,Live action
449,MARCH,White Men Can't Jump,20th Century Fox,Live action
450,MARCH,The Last of His Tribe,HBO Pictures / River City Productions,Live action
451,MARCH,,,
452,MARCH,,,
453,APRIL,Beethoven,Universal Pictures / Northern Lights Entertainment,Live action
454,APRIL,Delicatessen,Miramax Films / UGC Distribution,Live action
455,APRIL,Straight Talk,Hollywood Pictures,Live action
456,APRIL,Thunderheart,TriStar Pictures,Live action
457,APRIL,Rock-a-Doodle,The Samuel Goldwyn Company / Sullivan Bluth Studios,Animation
458,APRIL,Danielle Steel's Secrets,NBC Productions / The Cramer Company,Live action
459,APRIL,FernGully: The Last Rainforest,20th Century Fox,Animation
460,APRIL,Newsies,Walt Disney Pictures,Live action
461,APRIL,The Player,Fine Line Features,Live action
462,APRIL,Sleepwalkers,Columbia Pictures / Ion Pictures,Live action
463,APRIL,The Babe,Universal Pictures,Live action
464,APRIL,Boris and Natasha: The Movie,Showtime Networks,Live action
465,APRIL,Brain Donors,Paramount Pictures,Live action
466,APRIL,City of Joy,TriStar Pictures,Live action
467,APRIL,Deep Cover,New Line Cinema,Live action
468,APRIL,The Playboys,The Samuel Goldwyn Company,Live action
469,APRIL,A Midnight Clear,Beacon Pictures,Live action
470,APRIL,Highway 61,Shadow Shows Incorporated,Live action
471,APRIL,Passed Away,Hollywood Pictures,Live action
472,APRIL,White Sands,Warner Bros. Pictures / Morgan Creek Productions,Live action
473,APRIL,Year of the Comet,Columbia Pictures / Castle Rock Entertainment,Live action
474,MAY,Folks!,20th Century Fox,Live action
475,MAY,K2,Paramount Pictures,Live action
476,MAY,Live Wire,New Line Cinema,Live action
477,MAY,Night on Earth,Fine Line Features / Pandora Cinema,Live action
478,MAY,Split Second,Astro Distribution,Live action
479,MAY,Big Girls Don't Cry... They Get Even,New Line Cinema,Live action
480,MAY,CrissCross,Metro-Goldwyn-Mayer,Live action
481,MAY,"The Favour, the Watch and the Very Big Fish",Trimark Pictures,Live action
482,MAY,One False Move,IRS Media,Live action
483,MAY,Poison Ivy,New Line Cinema,Live action
484,MAY,The Waterdance,The Samuel Goldwyn Company,Live action
485,MAY,Lethal Weapon 3,Warner Bros. Pictures / Silver Pictures,Live action
486,MAY,Monster in a Box,Fine Line Features / Channel Four Films / Jon Blair Film Company,Live action
487,MAY,Intruders,CBS Entertainment Productions / Dan Curtis Productions / Osiris Films,Live action
488,MAY,Alien 3,20th Century Fox,Live action
489,MAY,Encino Man,Hollywood Pictures,Live action
490,MAY,Far and Away,Universal Pictures / Imagine Entertainment,Live action
491,MAY,Zentropa,Nordisk Film Biografdistribution / Det Danske Filminstitut / Svenska Filminstitutet / Eurimages / UGC Distribution,Live action
492,MAY,The Adjuster,Orion Classics,Live action
493,MAY,Cold Heaven,Hemdale Film Corporation,Live action
494,MAY,Cousin Bobby,Cinevista,Live action
495,MAY,Sister Act,Touchstone Pictures,Live action
496,MAY,Afterburn,HBO Pictures,Live action
497,JUNE,Stepfather III,HBO / Trimark Pictures / ITC Entertainment,Live action
498,JUNE,Class Act,Warner Bros. Pictures,Live action
499,JUNE,Patriot Games,Paramount Pictures,Live action
500,JUNE,Housesitter,Universal Pictures / Imagine Entertainment,Live action
501,JUNE,Waxwork II: Lost in Time,Live Home Video / Electric Pictures,Live action
502,JUNE,Batman Returns,Warner Bros. Pictures,Live action
503,JUNE,The Hairdresser's Husband,AMLF,Live action
504,JUNE,A Private Matter,HBO Pictures,Live action
505,JUNE,Pinocchio (re-release),Walt Disney Pictures,Animation
506,JUNE,Unlawful Entry,20th Century Fox / Largo Entertainment,Live action
507,JULY,Boomerang,Paramount Pictures / Imagine Entertainment,Live action
508,JULY,A League of Their Own,Columbia Pictures,Live action
509,JULY,The Best Intentions,The Samuel Goldwyn Company,Live action
510,JULY,Cool World,Paramount Pictures,Live action/ Animation
511,JULY,Prelude to a Kiss,20th Century Fox,Live action
512,JULY,Universal Soldier,TriStar Pictures / Carolco Pictures,Live action
513,JULY,The Comrades of Summer,HBO Pictures,Live action
514,JULY,Revenge of the Nerds III: The Next Generation,20th Television / FNM Films / Zacharias/Buhai Productions,Live action
515,JULY,"Honey, I Blew Up the Kid",Walt Disney Pictures,Live action
516,JULY,Man Trouble,20th Century Fox,Live action
517,JULY,A Stranger Among Us,Hollywood Pictures,Live action
518,JULY,Mistress,Rainbow Releasing,Live action
519,JULY,Mo' Money,Columbia Pictures,Live action
520,JULY,Mom and Dad Save the World,Warner Bros. Pictures,Live action
521,JULY,Bébé's Kids,Paramount Pictures,Animation
522,JULY,Buffy the Vampire Slayer,20th Century Fox,Live action
523,JULY,Death Becomes Her,Universal Pictures,Live action
524,JULY,Enchanted April,Miramax Films,Live action
525,AUGUST,3 Ninjas,Touchstone Pictures,Live action
526,AUGUST,London Kills Me,Fine Line Features / PolyGram Filmed Entertainment / Working Title Films / Channel Four Films,Live action
527,AUGUST,Raising Cain,Universal Pictures,Live action
528,AUGUST,Unforgiven,Warner Bros. Pictures,Live action
529,AUGUST,Whispers in the Dark,Paramount Pictures,Live action
530,AUGUST,Diggstown,Metro-Goldwyn-Mayer,Live action
531,AUGUST,Johnny Suede,Miramax Films,Live action
532,AUGUST,Single White Female,Columbia Pictures,Live action
533,AUGUST,Stay Tuned,Warner Bros. Pictures / Morgan Creek Productions,Live action
534,AUGUST,Christopher Columbus: The Discovery,Warner Bros. Pictures,Live action
535,AUGUST,The Gun in Betty Lou's Handbag,Touchstone Pictures,Live action
536,AUGUST,Light Sleeper,Fine Line Features,Live action
537,AUGUST,Little Nemo: Adventures in Slumberland,Hemdale Film Corporation,Animation
538,AUGUST,Rapid Fire,20th Century Fox,Live action
539,AUGUST,Citizen Cohn,HBO Pictures / Breakheart Films / Spring Creek Productions,Live action
540,AUGUST,Laws of Gravity,RKO Pictures,Live action
541,AUGUST,Storyville,20th Century Fox,Live action
542,AUGUST,Freddie as F.R.O.7,Miramax Films / J&M Entertainment,Animation
543,AUGUST,Honeymoon in Vegas,Columbia Pictures / Castle Rock Entertainment,Live action
544,AUGUST,Pet Sematary Two,Paramount Pictures,Live action
545,AUGUST,Twin Peaks: Fire Walk with Me,New Line Cinema,Live action
546,SEPTEMBER,Bob Roberts,Paramount Pictures,Live action
547,SEPTEMBER,Out on a Limb,Universal Pictures,Live action
548,SEPTEMBER,Blade Runner (Director's Cut),Warner Bros. Pictures / The Ladd Company / Shaw Brothers / Blade Runner Partnership,Live action
549,SEPTEMBER,Crossing the Bridge,Touchstone Pictures / Outlaw Productions,Live action
550,SEPTEMBER,Hellraiser III: Hell on Earth,Dimension Films / Fifth Avenue Entertainment,Live action
551,SEPTEMBER,Sneakers,Universal Pictures,Live action
552,SEPTEMBER,Swoon,Fine Line Features,Live action
553,SEPTEMBER,Where the Day Takes You,New Line Cinema,Live action
554,SEPTEMBER,Wind,TriStar Pictures,Live action
555,SEPTEMBER,Teamster Boss: The Jackie Presser Story,HBO Pictures,Live action
556,SEPTEMBER,Captain Ron,Touchstone Pictures,Live action
557,SEPTEMBER,Husbands and Wives,TriStar Pictures,Live action
558,SEPTEMBER,Peter's Friends,The Samuel Goldwyn Company,Live action
559,SEPTEMBER,Sarafina!,Hollywood Pictures / Miramax Films / BBC,Live action
560,SEPTEMBER,School Ties,Paramount Pictures,Live action
561,SEPTEMBER,Singles,Warner Bros. Pictures,Live action
562,SEPTEMBER,South Central,Warner Bros. Pictures,Live action
563,SEPTEMBER,Mr. Saturday Night,Columbia Pictures / Castle Rock Entertainment,Live action
564,SEPTEMBER,Innocent Blood,Warner Bros. Pictures,Live action
565,SEPTEMBER,The Last of the Mohicans,20th Century Fox / Morgan Creek Productions,Live action
566,OCTOBER,Glengarry Glen Ross,New Line Cinema,Live action
567,OCTOBER,Hero,Columbia Pictures,Live action
568,OCTOBER,The Mighty Ducks,Walt Disney Pictures,Live action
569,OCTOBER,Mr. Baseball,Universal Pictures,Live action
570,OCTOBER,Of Mice and Men,Metro-Goldwyn-Mayer,Live action
571,OCTOBER,Running Mates,HBO Pictures,Live action
572,OCTOBER,1492: Conquest of Paradise,Paramount Pictures,Live action
573,OCTOBER,A River Runs Through It,Columbia Pictures,Live action
574,OCTOBER,Under Siege,Warner Bros. Pictures,Live action
575,OCTOBER,Candyman,TriStar Pictures / Propaganda Films,Live action
576,OCTOBER,Consenting Adults,Hollywood Pictures,Live action
577,OCTOBER,Night and the City,20th Century Fox,Live action
578,OCTOBER,The Public Eye,Universal Pictures,Live action
579,OCTOBER,Dr. Giggles,Universal Pictures / Largo Entertainment,Live action
580,OCTOBER,Frozen Assets,RKO Pictures,Live action
581,OCTOBER,Pure Country,Warner Bros. Pictures,Live action
582,OCTOBER,Reservoir Dogs,Miramax Films,Live action
583,OCTOBER,Zebrahead,Triumph Releasing Corporation,Live action
584,OCTOBER,My New Gun,IRS Media,Live action
585,OCTOBER,There Goes the Neighborhood,Paramount Pictures,Live action
586,NOVEMBER,The Efficiency Expert,Miramax Films,Live action
587,NOVEMBER,Jennifer 8,Paramount Pictures,Live action
588,NOVEMBER,Passenger 57,Warner Bros. Pictures,Live action
589,NOVEMBER,Sinatra,CBS Entertainment Productions / Warner Bros. Television / TS Productions,Live action
590,NOVEMBER,Traces of Red,The Samuel Goldwyn Company,Live action
591,NOVEMBER,Bram Stoker's Dracula,Columbia Pictures / American Zoetrope,Live action
592,NOVEMBER,Love Potion No. 9,20th Century Fox,Live action
593,NOVEMBER,Flirting,Warner Bros. Pictures,Live action
594,NOVEMBER,The Jacksons: An American Dream,ABC / de Passe Entertainment / Motown Productions / PolyGram Filmed Entertainment,Live action
595,NOVEMBER,Malcolm X,Warner Bros. Pictures / 40 Acres and a Mule Filmworks,Live action
596,NOVEMBER,Bad Lieutenant,Aries Films,Live action
597,NOVEMBER,Home Alone 2: Lost in New York,20th Century Fox / Hughes Entertainment,Live action
598,NOVEMBER,Samantha,Academy Entertainment Inc.,Live action
599,NOVEMBER,Stalin,HBO Pictures / MGM Television / Warner Bros. Television,Live action
600,NOVEMBER,Aladdin,Walt Disney Pictures,Animation
601,NOVEMBER,The Bodyguard,Warner Bros. Pictures / Tig Productions,Live action
602,NOVEMBER,The Crying Game,Miramax Films,Live action
603,NOVEMBER,Saved by the Bell: Hawaiian Style,NBC Productions / Peter Engel Productions,Live action
604,DECEMBER,Damage,New Line Cinema,Live action
605,DECEMBER,The Distinguished Gentleman,Hollywood Pictures,Live action
606,DECEMBER,To Grandmother's House We Go,Warner Bros. Television / Jeff Franklin Productions / Green/Epstein Productions / Lorimar Television,Live action
607,DECEMBER,A Few Good Men,Columbia Pictures / Castle Rock Entertainment,Live action
608,DECEMBER,Forever Young,Warner Bros. Pictures / Icon Productions,Live action
609,DECEMBER,The Muppet Christmas Carol,Walt Disney Pictures / Jim Henson Productions,Live action
610,DECEMBER,Passion Fish,Miramax Films,Live action
611,DECEMBER,Dead Ahead: The Exxon Valdez Disaster,HBO Showcase,Live action
612,DECEMBER,Used People,20th Century Fox / Largo Entertainment,Live action
613,DECEMBER,Leap of Faith,Paramount Pictures,Live action
614,DECEMBER,Toys,20th Century Fox,Live action
615,DECEMBER,Indochine,Bac Films,Live action
616,DECEMBER,Scent of a Woman,Universal Pictures,Live action
617,DECEMBER,Chaplin,TriStar Pictures / Carolco Pictures,Live action
618,DECEMBER,Hoffa,20th Century Fox,Live action
619,DECEMBER,Trespass,Universal Pictures,Live action
620,DECEMBER,Lorenzo's Oil,Universal Pictures,Live action
621,DECEMBER,,,
622,JANUARY,Leprechaun,Trimark Pictures,Live action
623,JANUARY,Alive,Touchstone Pictures / Paramount Pictures / The Kennedy/Marshall Company,Live action
624,JANUARY,Body of Evidence,Metro-Goldwyn-Mayer,Live action
625,JANUARY,Nowhere to Run,Columbia Pictures,Live action
626,JANUARY,Aspen Extreme,Hollywood Pictures,Live action
627,JANUARY,Hexed,Columbia Pictures,Live action
628,JANUARY,Children of the Corn II: The Final Sacrifice,Dimension Films,Live action
629,JANUARY,Matinee,Universal Pictures,Live action
630,JANUARY,Sniper,TriStar Pictures,Live action
631,JANUARY,Blind Side,HBO Pictures / Chestnut Hill Productions,Live action
632,FEBRUARY,The Cemetery Club,Touchstone Pictures,Live action
633,FEBRUARY,Homeward Bound: The Incredible Journey,Walt Disney Pictures,Live action
634,FEBRUARY,Loaded Weapon 1,New Line Cinema,Live action
635,FEBRUARY,Sommersby,Warner Bros. Pictures,Live action
636,FEBRUARY,The Vanishing,20th Century Fox,Live action
637,FEBRUARY,Dead Alive,Oro Films / WingNut Films / Avalon Studios Limited / The New Zealand Film Commission,Live action
638,FEBRUARY,Groundhog Day,Columbia Pictures,Live action
639,FEBRUARY,Love Field,Orion Pictures,Live action
640,FEBRUARY,The Temp,Paramount Pictures,Live action
641,FEBRUARY,Untamed Heart,Metro-Goldwyn-Mayer,Live action
642,FEBRUARY,Alex Haley's Queen,CBS / Warner Bros. Television / The Wolper Organization,Live action
643,FEBRUARY,The Crying Game,Miramax Films,Live action
644,FEBRUARY,Mac,The Samuel Goldwyn Company,Live action
645,FEBRUARY,Hostages,HBO Showcase / Granada Film Productions,Live action
646,FEBRUARY,Army of Darkness,Universal Pictures,Live action
647,FEBRUARY,El Mariachi,Columbia Pictures / Los Hooligans Productions,Live action
648,FEBRUARY,Falling Down,Warner Bros. Pictures,Live action
649,MARCH,Amos & Andrew,Columbia Pictures / Castle Rock Entertainment,Live action
650,MARCH,Best of the Best 2,20th Century Fox,Live action
651,MARCH,Mad Dog and Glory,Universal Pictures,Live action
652,MARCH,Rich in Love,Metro-Goldwyn-Mayer,Live action
653,MARCH,Shadow of the Wolf,Triumph Releasing Corporation / Canal+ / Eiffel Productions,Live action
654,MARCH,Swing Kids,Hollywood Pictures,Live action
655,MARCH,CB4,Universal Pictures / Imagine Entertainment,Live action
656,MARCH,A Far Off Place,Walt Disney Pictures / Amblin Entertainment,Live action
657,MARCH,Fire in the Sky,Paramount Pictures,Live action
658,MARCH,Just Another Girl on the I.R.T.,Miramax Films / Live Entertainment,Live action
659,MARCH,Point of No Return,Warner Bros. Pictures,Live action
660,MARCH,Teenage Mutant Ninja Turtles III,New Line Cinema / 20th Century Fox,Live action
661,MARCH,Barbarians at the Gate,HBO Pictures,Live action
662,MARCH,Born Yesterday,Hollywood Pictures,Live action
663,MARCH,Hear No Evil,20th Century Fox,Live action
664,MARCH,Married to It,Orion Pictures,Live action
665,MARCH,The Opposite Sex and How to Live with Them,Miramax Films,Live action
666,APRIL,The Adventures of Huck Finn,Walt Disney Pictures,Live action
667,APRIL,Cop and a Half,Universal Pictures / Imagine Entertainment,Live action
668,APRIL,The Crush,Warner Bros. Pictures / Morgan Creek Productions,Live action
669,APRIL,Jack the Bear,20th Century Fox,Live action
670,APRIL,When a Stranger Calls Back,Showtime / Universal Television,Live action
671,APRIL,Indecent Proposal,Paramount Pictures,Live action
672,APRIL,The Sandlot,20th Century Fox,Live action
673,APRIL,"Bodies, Rest & Motion",Fine Line Features,Live action
674,APRIL,Sidekicks,Triumph Films,Live action
675,APRIL,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,HBO Pictures,Live action
676,APRIL,Benny & Joon,Metro-Goldwyn-Mayer,Live action
677,APRIL,Boiling Point,Warner Bros. Pictures,Live action
678,APRIL,Wide Sargasso Sea,New Line Cinema,Live action
679,APRIL,The Dark Half,Orion Pictures,Live action
680,APRIL,Indian Summer,Touchstone Pictures,Live action
681,APRIL,This Boy's Life,Warner Bros. Pictures,Live action
682,APRIL,Who's the Man?,New Line Cinema,Live action
683,APRIL,Bound By Honor,Hollywood Pictures,Live action
684,APRIL,The Night We Never Met,Miramax Films,Live action
685,APRIL,Splitting Heirs,Universal Pictures,Live action
686,APRIL,Three of Hearts,New Line Cinema,Live action
687,MAY,American Heart,Triton Pictures,Live action
688,MAY,Dave,Warner Bros. Pictures,Live action
689,MAY,Dragon: The Bruce Lee Story,Universal Pictures,Live action
690,MAY,Much Ado About Nothing,The Samuel Goldwyn Company,Live action
691,MAY,My Neighbor Totoro,Tokuma Shoten / Streamline Pictures / 20th Century Fox / 50th Street Films,Animation
692,MAY,Daybreak,HBO Showcase,Live action
693,MAY,Stephen King's The Tommyknockers,ABC,Live action
694,MAY,Carnosaur,New Horizon Picture Corp,Live action
695,MAY,Excessive Force,New Line Cinema / 3 Arts Entertainment / Ian Page Productions,Live action
696,MAY,Lost in Yonkers,Columbia Pictures / Rastar,Live action
697,MAY,Posse,Gramercy Pictures,Live action
698,MAY,Hot Shots! Part Deux,20th Century Fox,Live action
699,MAY,Sliver,Paramount Pictures,Live action
700,MAY,Menace II Society,New Line Cinema,Live action
701,MAY,Cliffhanger,TriStar Pictures / Carolco Pictures,Live action
702,MAY,Happily Ever After,Filmation Associates,Animation
703,MAY,Like Water for Chocolate,Miramax Films,Live action
704,MAY,The Long Day Closes,British Film Institute / Film Four International,Live action
705,MAY,Made in America,Warner Bros. Pictures,Live action
706,MAY,Super Mario Bros.,Hollywood Pictures / Lightmotive/Allied Filmmakers,Live action
707,JUNE,Guilty as Sin,Hollywood Pictures,Live action
708,JUNE,Life with Mikey,Touchstone Pictures,Live action
709,JUNE,The Music of Chance,IRS Media,Live action
710,JUNE,Nothing but a Man,Cinema V,Live action
711,JUNE,Orlando,Sony Pictures Classics,Live action
712,JUNE,Equinox,IRS Media,Live action
713,JUNE,Jurassic Park,Universal Pictures / Amblin Entertainment,Live action
714,JUNE,Last Action Hero,Columbia Pictures,Live action
715,JUNE,Once Upon a Forest,20th Century Fox,Animation
716,JUNE,Dennis the Menace,Warner Bros. Pictures / Hughes Entertainment,Live action
717,JUNE,House of Cards,Miramax Films,Live action
718,JUNE,Sleepless in Seattle,TriStar Pictures,Live action
719,JUNE,What's Love Got to Do with It,Touchstone Pictures,Live action
720,JUNE,Extreme Justice,Trimark Pictures / HBO,Live action
721,JULY,The Firm,Paramount Pictures,Live action
722,JULY,Snow White and the Seven Dwarfs (re-release),Walt Disney Pictures,Animation
723,JULY,Son-in-Law,Hollywood Pictures,Live action
724,JULY,In the Line of Fire,Columbia Pictures / Castle Rock Entertainment,Live action
725,JULY,Rookie of the Year,20th Century Fox,Live action
726,JULY,Weekend at Bernie's II,TriStar Pictures,Live action
727,JULY,Benefit of the Doubt,Miramax Films,Live action
728,JULY,Free Willy,Warner Bros. Pictures,Live action
729,JULY,Hocus Pocus,Walt Disney Pictures,Live action
730,JULY,Another Stakeout,Touchstone Pictures,Live action
731,JULY,Coneheads,Paramount Pictures,Live action
732,JULY,Poetic Justice,Columbia Pictures,Live action
733,JULY,Robin Hood: Men in Tights,20th Century Fox / Columbia Pictures,Live action
734,JULY,Rising Sun,20th Century Fox,Live action
735,JULY,So I Married an Axe Murderer,TriStar Pictures,Live action
736,JULY,Tom and Jerry: The Movie,Miramax Films / Live Entertainment,Animation
737,AUGUST,The Fugitive,Warner Bros. Pictures,Live action
738,AUGUST,The Meteor Man,Metro-Goldwyn-Mayer,Live action
739,AUGUST,My Boyfriend's Back,Touchstone Pictures,Live action
740,AUGUST,That Night,Warner Bros. Pictures,Live action
741,AUGUST,The Wedding Banquet,The Samuel Goldwyn Company,Live action
742,AUGUST,Searching for Bobby Fischer,Paramount Pictures,Live action
743,AUGUST,Heart and Souls,Universal Pictures,Live action
744,AUGUST,Jason Goes to Hell: The Final Friday,New Line Cinema,Live action
745,AUGUST,The Secret Garden,Warner Bros. Pictures,Live action
746,AUGUST,Manhattan Murder Mystery,TriStar Pictures,Live action
747,AUGUST,The Ballad of Little Jo,Fine Line Features,Live action
748,AUGUST,Hard Target,Universal Pictures,Live action
749,AUGUST,King of the Hill,Gramercy Pictures,Live action
750,AUGUST,Surf Ninjas,New Line Cinema,Live action
751,AUGUST,Wilder Napalm,TriStar Pictures,Live action
752,AUGUST,Strapped,HBO Showcase / Osiris Films,Live action
753,AUGUST,The Man Without a Face,Warner Bros. Pictures / Icon Productions,Live action
754,AUGUST,Father Hood,Hollywood Pictures,Live action
755,AUGUST,Needful Things,Columbia Pictures / Castle Rock Entertainment,Live action
756,AUGUST,Only the Strong,20th Century Fox,Live action
757,AUGUST,Son of the Pink Panther,Metro-Goldwyn-Mayer,Live action
758,AUGUST,The Thing Called Love,Paramount Pictures,Live action
759,SEPTEMBER,Calendar Girl,Columbia Pictures,Live action
760,SEPTEMBER,Fortress,Dimension Films / Columbia Pictures / Davis Entertainment,Live action
761,SEPTEMBER,Kalifornia,Gramercy Pictures / Propaganda Films,Live action
762,SEPTEMBER,The Joy Luck Club,Hollywood Pictures,Live action
763,SEPTEMBER,Money for Nothing,Hollywood Pictures,Live action
764,SEPTEMBER,The Real McCoy,Universal Pictures,Live action
765,SEPTEMBER,True Romance,Warner Bros. Pictures / Morgan Creek Productions,Live action
766,SEPTEMBER,Undercover Blues,Metro-Goldwyn-Mayer,Live action
767,SEPTEMBER,And the Band Played On,HBO Pictures,Live action
768,SEPTEMBER,Household Saints,New Line Cinema,Live action
769,SEPTEMBER,The Age of Innocence,Columbia Pictures,Live action
770,SEPTEMBER,Airborne,Warner Bros. Pictures / Icon Productions,Live action
771,SEPTEMBER,Into the West,Miramax Films,Live action
772,SEPTEMBER,Striking Distance,Columbia Pictures,Live action
773,SEPTEMBER,Danielle Steel's Star,NBC Productions / Schoolfield Productions / The Cramer Company,Live action
774,SEPTEMBER,Bopha!,Paramount Pictures,Live action
775,SEPTEMBER,The Brave Little Toaster (re-release),Walt Disney Pictures,Animation
776,SEPTEMBER,Dazed and Confused,Gramercy Pictures,Live action
777,SEPTEMBER,The Good Son,20th Century Fox,Live action
778,SEPTEMBER,The Odd Couple Together Again,CBS,Live action
779,SEPTEMBER,The Program,Touchstone Pictures / The Samuel Goldwyn Company,Live action
780,SEPTEMBER,Warlock: The Armageddon,Trimark Pictures,Live action
781,SEPTEMBER,A Bronx Tale,Savoy Pictures,Live action
782,OCTOBER,Cool Runnings,Walt Disney Pictures,Live action
783,OCTOBER,For Love or Money,Universal Pictures / Imagine Entertainment,Live action
784,OCTOBER,Freaked,20th Century Fox,Live action
785,OCTOBER,Malice,Columbia Pictures / Castle Rock Entertainment,Live action
786,OCTOBER,M. Butterfly,Warner Bros. Pictures,Live action
787,OCTOBER,Short Cuts,Fine Line Features,Live action
788,OCTOBER,Deadfall,Trimark Pictures,Live action
789,OCTOBER,Demolition Man,Warner Bros. Pictures / Silver Pictures,Live action
790,OCTOBER,Gettysburg,New Line Cinema,Live action
791,OCTOBER,Mr. Jones,TriStar Pictures / Rastar,Live action
792,OCTOBER,Mr. Nanny,New Line Cinema,Live action
793,OCTOBER,The Beverly Hillbillies,20th Century Fox,Live action
794,OCTOBER,Fearless,Warner Bros. Pictures,Live action
795,OCTOBER,Judgment Night,Universal Pictures / Largo Entertainment,Live action
796,OCTOBER,Mr. Wonderful,Warner Bros. Pictures,Live action
797,OCTOBER,Rudy,TriStar Pictures,Live action
798,OCTOBER,Twenty Bucks,Triton Pictures,Live action
799,OCTOBER,Ruby Cairo,Miramax Films,Live action
800,OCTOBER,Fatal Instinct,Metro-Goldwyn-Mayer,Live action
801,OCTOBER,The Nightmare Before Christmas,Walt Disney Pictures / Touchstone Pictures,Animation
802,OCTOBER,The Last Outlaw,HBO Pictures,Live action
803,NOVEMBER,Flesh and Bone,Paramount Pictures,Live action
804,NOVEMBER,A Home of Our Own,Metro-Goldwyn-Mayer / Gramercy Pictures,Live action
805,NOVEMBER,Look Who's Talking Now,TriStar Pictures,Live action
806,NOVEMBER,RoboCop 3,Orion Pictures,Live action
807,NOVEMBER,Ruby in Paradise,October Films,Live action
808,NOVEMBER,The Remains of the Day,Columbia Pictures,Live action
809,NOVEMBER,Carlito's Way,Universal Pictures,Live action
810,NOVEMBER,Ernest Rides Again,Emshell Producers,Live action
811,NOVEMBER,My Life,Columbia Pictures / Zucker Brothers Productions,Live action
812,NOVEMBER,The Piano,Miramax Films,Live action
813,NOVEMBER,The Three Musketeers,Walt Disney Pictures / Caravan Pictures,Live action
814,NOVEMBER,Return to Lonesome Dove,CBS,Live action
815,NOVEMBER,Ed and His Dead Mother,ITC Entertainment,Live action
816,NOVEMBER,The Saint of Fort Washington,Warner Bros. Pictures,Live action
817,NOVEMBER,Addams Family Values,Paramount Pictures,Live action
818,NOVEMBER,Dangerous Game,Metro-Goldwyn-Mayer,Live action
819,NOVEMBER,Man's Best Friend,New Line Cinema,Live action
820,NOVEMBER,A Perfect World,Warner Bros. Pictures,Live action
821,NOVEMBER,Josh and S.A.M.,Columbia Pictures / Castle Rock Entertainment,Live action
822,NOVEMBER,Mrs. Doubtfire,20th Century Fox,Live action
823,NOVEMBER,We're Back! A Dinosaur's Story,Universal Pictures / Amblimation,Animation
824,NOVEMBER,Full Eclipse,HBO Pictures / Citadel Entertainment / Tapestry Films,Live action
825,DECEMBER,A Dangerous Woman,Gramercy Pictures / Amblin Entertainment,Live action
826,DECEMBER,The Snapper,Miramax Films,Live action
827,DECEMBER,Hollyrock-a-Bye Baby,ABC / Hanna-Barbera Cartoons / Turner Entertainment,Animation
828,DECEMBER,Six Degrees of Separation,Metro-Goldwyn-Mayer,Live action
829,DECEMBER,Geronimo: An American Legend,Columbia Pictures,Live action
830,DECEMBER,Sister Act 2: Back in the Habit,Touchstone Pictures,Live action
