,Opening,Title,Studio,Medium
100,JULY,Blood Oath,Roadshow Entertainment,Live action
101,JULY,Chicago Joe and the Showgirl,New Line Cinema,Live action
102,JULY,Presumed Innocent,Warner Bros. Pictures,Live action
103,JULY,Problem Child,Universal Pictures / Imagine Entertainment,Live action
104,AUGUST,Young Guns II,20th Century Fox / Morgan Creek Productions,Live action
105,AUGUST,DuckTales the Movie: Treasure of the Lost Lamp,Walt Disney Pictures,Animation
106,AUGUST,Metropolitan,New Line Cinema,Live action
107,AUGUST,Mo' Better Blues,Universal Pictures / 40 Acres and a Mule Filmworks,Live action
108,AUGUST,Air America,TriStar Pictures / Carolco Pictures,Live action
109,AUGUST,Flatliners,Columbia Pictures,Live action
110,AUGUST,The Two Jakes,Paramount Pictures,Live action
111,AUGUST,The Exorcist III,20th Century Fox / Morgan Creek Productions,Live action
112,AUGUST,My Blue Heaven,Warner Bros. Pictures,Live action
113,AUGUST,Taking Care of Business,Hollywood Pictures,Live action
114,AUGUST,Wild at Heart,The Samuel Goldwyn Company,Live action
115,AUGUST,Pump Up the Volume,New Line Cinema,Live action
116,AUGUST,"After Dark, My Sweet",Avenue Pictures,Live action
117,AUGUST,Darkman,Universal Pictures,Live action
118,AUGUST,Delta Force 2: The Colombian Connection,Cannon Films,Live action
119,AUGUST,Dreams,Warner Bros. Pictures,Live action
120,AUGUST,Men at Work,Triumph Films,Live action
121,AUGUST,The Witches,Warner Bros. Pictures,Live action
122,AUGUST,The Lemon Sisters,Miramax Films,Live action
123,AUGUST,"Mirror, Mirror",New City Releasing / Orphan Eyes,Live action
124,SEPTEMBER,Postcards from the Edge,Columbia Pictures,Live action
125,SEPTEMBER,Death Warrant,Metro-Goldwyn-Mayer,Live action
126,SEPTEMBER,Hardware,Palace Pictures / Miramax Films,Live action
127,SEPTEMBER,Repossessed,Seven Arts Pictures / Carolco Pictures,Live action
128,SEPTEMBER,State of Grace,Orion Pictures,Live action
129,SEPTEMBER,White Hunter Black Heart,Warner Bros. Pictures / Rastar,Live action
130,SEPTEMBER,Goodfellas,Warner Bros. Pictures,Live action
131,SEPTEMBER,Don't Tell Her It's Me,Metro-Goldwyn-Mayer,Live action
132,SEPTEMBER,Funny About Love,Paramount Pictures,Live action
133,SEPTEMBER,Narrow Margin,TriStar Pictures / Carolco Pictures,Live action
134,SEPTEMBER,I Come in Peace,Triumph Films,Live action
135,SEPTEMBER,King of New York,Seven Arts Pictures / Carolco Pictures,Live action
136,SEPTEMBER,Pacific Heights,20th Century Fox / Morgan Creek Productions,Live action
137,SEPTEMBER,Texasville,Columbia Pictures / Nelson Entertainment,Live action
138,OCTOBER,Avalon,TriStar Pictures / Baltimore Pictures,Live action
139,OCTOBER,Desperate Hours,Metro-Goldwyn-Mayer,Live action
140,OCTOBER,Fantasia (re-release),Walt Disney Pictures,Animation
141,OCTOBER,Henry & June,Universal Pictures,Live action
142,OCTOBER,Marked for Death,20th Century Fox,Live action
143,OCTOBER,Miller's Crossing,20th Century Fox,Live action
144,OCTOBER,Shakma,Castle Hill Productions / Quest Entertainment,Live action
145,OCTOBER,Memphis Belle,Warner Bros. Pictures,Live action
146,OCTOBER,Mr. Destiny,Touchstone Pictures,Live action
147,OCTOBER,To Sleep with Anger,The Samuel Goldwyn Company,Live action
148,OCTOBER,Troll 2,Metro-Goldwyn-Mayer,Live action
149,OCTOBER,"Welcome Home, Roxy Carmichael",Paramount Pictures,Live action
150,OCTOBER,The Ambulance,Triumph Films,Live action
151,OCTOBER,Night of the Living Dead,Columbia Pictures,Live action
152,OCTOBER,Quigley Down Under,Metro-Goldwyn-Mayer,Live action
153,OCTOBER,Reversal of Fortune,Warner Bros. Pictures,Live action
154,OCTOBER,White Palace,Universal Pictures,Live action
155,OCTOBER,Graveyard Shift,Paramount Pictures / Columbia Pictures,Live action
156,OCTOBER,The Hot Spot,Orion Pictures,Live action
157,OCTOBER,Sibling Rivalry,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,Live action
158,OCTOBER,Soultaker,AIP Home Video,Live action
159,OCTOBER,Tune in Tomorrow,Cinecom Pictures,Live action
160,NOVEMBER,China Cry,Parakletus,Live action
161,NOVEMBER,Frankenstein Unbound,20th Century Fox,Live action
162,NOVEMBER,Graffiti Bridge,Warner Bros. Pictures,Live action
163,NOVEMBER,Jacob's Ladder,TriStar Pictures / Carolco Pictures,Live action
164,NOVEMBER,Child's Play 2,Universal Pictures,Live action
165,NOVEMBER,Guns,Malibu Bay Films,Live action
166,NOVEMBER,The Krays,Rank Film Distributors,Live action
167,NOVEMBER,Psycho IV: The Beginning,Showtime / Universal Television / Smart Money Productions,Live action
168,NOVEMBER,Home Alone,20th Century Fox / Hughes Entertainment,Live action
169,NOVEMBER,The Rescuers Down Under,Walt Disney Pictures,Animation
170,NOVEMBER,Rocky V,United Artists,Live action
171,NOVEMBER,Stephen King's It,ABC / Warner Bros. Television Distribution / Lorimar Television / DawnField Entertainment / The Konigsberg & Sanitsky Company / Green/Epstein Productions,Live action
172,NOVEMBER,Dances with Wolves,Orion Pictures / Tig Productions,Live action
173,NOVEMBER,Hidden Agenda,Hemdale Film Corporation,Live action
174,NOVEMBER,The Nutcracker Prince,Warner Bros. Pictures / Lacewood Productions,Animation
175,NOVEMBER,Predator 2,20th Century Fox,Live action
176,NOVEMBER,Robot Jox,Empire International Pictures,Live action
177,NOVEMBER,Three Men and a Little Lady,Touchstone Pictures,Live action
178,NOVEMBER,Mr. and Mrs. Bridge,Miramax Films,Live action
179,NOVEMBER,Misery,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,Live action
180,DECEMBER,Cyrano de Bergerac,Orion Classics,Live action
181,DECEMBER,The Grifters,Miramax Films,Live action
182,DECEMBER,The Rookie,Warner Bros. Pictures,Live action
183,DECEMBER,The Dreamer of Oz: The L. Frank Baum Story,NBC Productions / Bedrock Productions / Adam Productions / Spelling Entertainment,Live action
184,DECEMBER,Havana,Universal Pictures,Live action
185,DECEMBER,The Sheltering Sky,Warner Bros. Pictures,Live action
186,DECEMBER,Edward Scissorhands,20th Century Fox,Live action
187,DECEMBER,Look Who's Talking Too,TriStar Pictures,Live action
188,DECEMBER,Mermaids,Orion Pictures,Live action
189,DECEMBER,Awakenings,Columbia Pictures,Live action
190,DECEMBER,Almost an Angel,Paramount Pictures,Live action
191,DECEMBER,Hamlet,Warner Bros. Pictures,Live action
192,DECEMBER,The Russia House,Metro-Goldwyn-Mayer,Live action
193,DECEMBER,The Bonfire of the Vanities,Warner Bros. Pictures,Live action
194,DECEMBER,Kiki's Delivery Service,Streamline Pictures,Animation
195,DECEMBER,Kindergarten Cop,Universal Pictures / Imagine Entertainment,Live action
196,DECEMBER,The Long Walk Home,Miramax Films,Live action
197,DECEMBER,Come See the Paradise,20th Century Fox,Live action
198,DECEMBER,Alice,Orion Pictures,Live action
199,DECEMBER,The Godfather Part III,Paramount Pictures,Live action
200,DECEMBER,Green Card,Touchstone Pictures,Live action
201,JANUARY,Lionheart,Universal Pictures,Live action
202,JANUARY,Not Without My Daughter,Metro-Goldwyn-Mayer,Live action
203,JANUARY,Ski School,Moviestore Entertainment,Live action
204,JANUARY,Cadence,New Line Cinema / Republic Pictures,Live action
205,JANUARY,Eve of Destruction,Orion Pictures,Live action
206,JANUARY,Flight of the Intruder,Paramount Pictures,Live action
207,JANUARY,Men of Respect,Columbia Pictures,Live action
208,JANUARY,Once Around,Universal Pictures,Live action
209,JANUARY,White Fang,Walt Disney Pictures,Live action
210,JANUARY,Too Much Sun,CineTel Films,Live action
211,JANUARY,Prison Stories: Women on the Inside,HBO Showcase,Live action
212,FEBRUARY,Meet the Applegates,New World Pictures / Triton Pictures,Live action
213,FEBRUARY,Popcorn,Studio Three Film Corporation,Live action
214,FEBRUARY,Queens Logic,New Visions Pictures,Live action
215,FEBRUARY,Run,Hollywood Pictures,Live action
216,FEBRUARY,L.A. Story,TriStar Pictures / Carolco Pictures,Live action
217,FEBRUARY,The NeverEnding Story II: The Next Chapter,Warner Bros. Pictures,Live action
218,FEBRUARY,Rosencrantz & Guildenstern Are Dead,Cinecom Pictures / Brandenberg / WNET Channel 13 New York,Live action
219,FEBRUARY,Sleeping with the Enemy,20th Century Fox,Live action
220,FEBRUARY,The Silence of the Lambs,Orion Pictures,Live action
221,FEBRUARY,King Ralph,Universal Pictures,Live action
222,FEBRUARY,Nothing but Trouble,Warner Bros. Pictures,Live action
223,FEBRUARY,"Love, Lies and Murder",NBC / Republic Pictures / Two Short Productions,Live action
