,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium,tomato_score
17,Sleeping with the Enemy,1991,R,Joseph Ruben,Julia Roberts,Patrick Bergin,Kevin Anderson,Elizabeth Lawrence,99,Drama,48,6.2,"59,119",101.6,FEBRUARY,20th Century Fox,Live action,22
18,Father of the Bride,1991,PG,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,105,Comedy,51,6.5,"78,243",89.33,DECEMBER,Touchstone Pictures,Live action,70
19,The Naked Gun 2½: The Smell of Fear,1991,PG-13,David Zucker,Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson,85,Comedy,65,6.9,"114,683",86.93,JUNE,Paramount Pictures,Live action,58
20,Aladdin,1992,G,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,90,Animation,86,8,"420,449",217.35,NOVEMBER,Walt Disney Pictures,Animation,95
21,Home Alone 2: Lost in New York,1992,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,120,Adventure,46,6.8,"356,369",173.59,NOVEMBER,20th Century Fox,Live action,35
22,Batman Returns,1992,PG-13,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,126,Action,68,7.1,"306,891",162.83,JUNE,Warner Bros. Pictures,Live action,81
23,Lethal Weapon 3,1992,R,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,118,Action,40,6.7,"169,796",144.73,MAY,Warner Bros. Pictures,Live action,58
24,A Few Good Men,1992,R,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,138,Drama,62,7.7,"265,854",141.34,DECEMBER,Columbia Pictures,Live action,83
25,Sister Act,1992,PG,Emile Ardolino,Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena,100,Comedy,51,6.5,"100,389",139.61,MAY,Touchstone Pictures,Live action,74
26,The Bodyguard,1992,R,Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs,129,Action,39,6.3,"136,460",121.95,NOVEMBER,Warner Bros. Pictures,Live action,38
27,Wayne's World,1992,PG-13,Penelope Spheeris,Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere,94,Comedy,57,7,"158,754",121.7,FEBRUARY,Paramount Pictures,Live action,79
28,Basic Instinct,1992,R,Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,127,Drama,41,7,"201,956",117.73,MARCH,TriStar Pictures,Live action,57
29,A League of Their Own,1992,PG,Penny Marshall,Tom Hanks,Geena Davis,Lori Petty,Madonna,128,Comedy,69,7.3,"110,464",107.53,JULY,Columbia Pictures,Live action,81
30,Jurassic Park,1993,PG-13,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,127,Action,68,8.2,"986,436",402.45,JUNE,Universal Pictures,Live action,91
31,Mrs. Doubtfire,1993,PG-13,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,125,Comedy,53,7.1,"269,535",219.2,NOVEMBER,20th Century Fox,Live action,70
32,The Fugitive,1993,PG-13,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,130,Action,87,7.8,"296,723",183.88,AUGUST,Warner Bros. Pictures,Live action,96
33,The Firm,1993,R,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,154,Drama,58,6.8,"136,564",158.35,JULY,Paramount Pictures,Live action,76
34,Sleepless in Seattle,1993,PG,Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson,105,Comedy,72,6.8,"177,724",126.53,JUNE,TriStar Pictures,Live action,75
35,Indecent Proposal,1993,R,Adrian Lyne,Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel,117,Drama,35,6,"72,499",106.61,APRIL,Paramount Pictures,Live action,34
36,In the Line of Fire,1993,R,Wolfgang Petersen,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,128,Action,74,7.2,"105,248",102.31,JULY,Columbia Pictures,Live action,96
37,The Pelican Brief,1993,PG-13,Alan J. Pakula,Julia Roberts,Denzel Washington,Sam Shepard,John Heard,141,Crime,50,6.6,"88,805",100.77,DECEMBER,Warner Bros. Pictures,Live action,54
38,Schindler's List,1993,R,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,195,Biography,94,9,"1,351,087",96.9,DECEMBER,Universal Pictures,Live action,98
39,Cliffhanger,1993,R,Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,113,Action,60,6.5,"131,335",84.05,MAY,TriStar Pictures,Live action,67
40,The Lion King,1994,G,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,88,Animation,88,8.5,"1,055,076",422.78,JUNE,Walt Disney Pictures,Animation,93
41,Forrest Gump,1994,PG-13,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,142,Drama,82,8.8,"2,068,810",330.25,JULY,Paramount Pictures,Live action,71
42,True Lies,1994,R,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,141,Action,63,7.3,"260,620",146.28,JULY,20th Century Fox,Live action,70
43,The Santa Clause,1994,PG,John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,97,Comedy,57,6.5,"118,739",144.83,NOVEMBER,Walt Disney Pictures,Live action,73
44,The Flintstones,1994,PG,Brian Levant,John Goodman,Rick Moranis,Rosie O'Donnell,Halle Berry,91,Comedy,38,5,"82,008",130.51,MAY,Universal Pictures,Live action,21
45,Dumb and Dumber,1994,PG-13,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,107,Comedy            ,41,7.3,"386,972",127.18,DECEMBER,New Line Cinema,Live action,68
46,Clear and Present Danger,1994,PG-13,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,141,Action,74,6.9,"101,021",122.19,AUGUST,Paramount Pictures,Live action,80
47,Speed,1994,R,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,116,Action,78,7.3,"365,698",121.25,JUNE,20th Century Fox,Live action,94
48,The Mask,1994,PG-13,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,101,Action,56,6.9,"387,910",119.94,JULY,New Line Cinema,Live action,80
