,index,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium
26,77,The Bodyguard,1992,R,Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs,129,"Action, Drama, Music            ",39,6.3,"136,460",121.95,NOVEMBER,Warner Bros. Pictures / Tig Productions,Live action
27,78,Wayne's World,1992,PG-13,Penelope Spheeris,Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere,94,"Comedy, Music            ",57,7.0,"158,754",121.7,FEBRUARY,Paramount Pictures,Live action
28,84,Basic Instinct,1992,R,Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,127,"Drama, Mystery, Thriller            ",41,7.0,"201,956",117.73,MARCH,TriStar Pictures / Carolco Pictures,Live action
29,96,A League of Their Own,1992,PG,Penny Marshall,Tom Hanks,Geena Davis,Lori Petty,Madonna,128,"Comedy, Drama, Sport            ",69,7.3,"110,464",107.53,JULY,Columbia Pictures,Live action
30,3,Jurassic Park,1993,PG-13,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,127,"Action, Adventure, Sci-Fi            ",68,8.2,"986,436",402.45,JUNE,Universal Pictures / Amblin Entertainment,Live action
31,12,Mrs. Doubtfire,1993,PG-13,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,125,"Comedy, Drama            ",53,7.1,"269,535",219.2,NOVEMBER,20th Century Fox,Live action
32,23,The Fugitive,1993,PG-13,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,130,"Action, Crime, Drama            ",87,7.8,"296,723",183.88,AUGUST,Warner Bros. Pictures,Live action
33,38,The Firm,1993,R,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,154,"Drama, Mystery, Thriller            ",58,6.8,"136,564",158.35,JULY,Paramount Pictures,Live action
34,70,Sleepless in Seattle,1993,PG,Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson,105,"Comedy, Drama, Romance            ",72,6.8,"177,724",126.53,JUNE,TriStar Pictures,Live action
35,99,Indecent Proposal,1993,R,Adrian Lyne,Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel,117,"Drama, Romance            ",35,6.0,"72,499",106.61,APRIL,Paramount Pictures,Live action
36,109,In the Line of Fire,1993,R,Wolfgang Petersen,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,128,"Action, Crime, Drama            ",74,7.2,"105,248",102.31,JULY,Columbia Pictures / Castle Rock Entertainment,Live action
37,119,The Pelican Brief,1993,PG-13,Alan J. Pakula,Julia Roberts,Denzel Washington,Sam Shepard,John Heard,141,"Crime, Drama, Mystery            ",50,6.6,"88,805",100.77,DECEMBER,Warner Bros. Pictures,Live action
38,129,Schindler's List,1993,R,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,195,"Biography, Drama, History            ",94,9.0,"1,351,087",96.9,DECEMBER,Universal Pictures / Amblin Entertainment,Live action
39,150,Cliffhanger,1993,R,Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,113,"Action, Adventure, Thriller            ",60,6.5,"131,335",84.05,MAY,TriStar Pictures / Carolco Pictures,Live action
40,2,The Lion King,1994,G,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,88,"Animation, Adventure, Drama            ",88,8.5,"1,055,076",422.78,JUNE,Walt Disney Pictures,Animation
41,4,Forrest Gump,1994,PG-13,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,142,"Drama, Romance            ",82,8.8,"2,068,810",330.25,JULY,Paramount Pictures,Live action
42,43,True Lies,1994,R,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,141,"Action, Comedy, Thriller            ",63,7.3,"260,620",146.28,JULY,20th Century Fox / Universal Pictures / Lightstorm Entertainment,Live action
43,44,The Santa Clause,1994,PG,John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,97,"Comedy, Drama, Family            ",57,6.5,"118,739",144.83,NOVEMBER,Walt Disney Pictures / Hollywood Pictures,Live action
44,63,The Flintstones,1994,PG,Brian Levant,John Goodman,Rick Moranis,Rosie O'Donnell,Halle Berry,91,"Comedy, Family, Fantasy            ",38,5.0,"82,008",130.51,MAY,Universal Pictures / Amblin Entertainment,Live action
45,67,Dumb and Dumber,1994,PG-13,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,107,Comedy            ,41,7.3,"386,972",127.18,DECEMBER,New Line Cinema,Live action
46,75,Clear and Present Danger,1994,PG-13,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,141,"Action, Crime, Drama            ",74,6.9,"101,021",122.19,AUGUST,Paramount Pictures,Live action
47,79,Speed,1994,R,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,116,"Action, Adventure, Thriller            ",78,7.3,"365,698",121.25,JUNE,20th Century Fox,Live action
48,81,The Mask,1994,PG-13,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,101,"Action, Comedy, Crime            ",56,6.9,"387,910",119.94,JULY,New Line Cinema,Live action
49,95,Pulp Fiction,1994,R,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,154,"Crime, Drama            ",94,8.9,"2,043,225",107.93,OCTOBER,Miramax Films,Live action
50,20,Toy Story,1995,G,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,81,"Animation, Adventure, Comedy            ",95,8.3,"991,685",191.8,NOVEMBER,Walt Disney Pictures / Pixar Animation Studios,Animation
51,22,Batman Forever,1995,PG-13,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,121,"Action, Adventure            ",51,5.4,"254,459",184.03,JUNE,Warner Bros. Pictures,Live action
52,28,Apollo 13,1995,PG,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,140,"Adventure, Drama, History            ",77,7.7,"296,619",173.84,JUNE,Universal Pictures / Imagine Entertainment,Live action
53,47,Pocahontas,1995,G,Mike Gabriel,Eric Goldberg,Mel Gibson,Linda Hunt,Christian Bale,81,"Animation, Adventure, Drama            ",58,6.7,"188,850",141.6,JUNE,Walt Disney Pictures,Animation
54,94,Ace Ventura: When Nature Calls,1995,PG-13,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,90,"Adventure, Comedy, Crime            ",45,6.4,"219,319",108.39,NOVEMBER,Warner Bros. Pictures / Morgan Creek Productions,Live action
55,100,GoldenEye,1995,PG-13,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,130,"Action, Adventure, Thriller            ",65,7.2,"258,722",106.6,NOVEMBER,United Artists,Live action
56,121,Jumanji,1995,PG,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,104,"Adventure, Comedy, Family            ",39,7.0,"347,394",100.48,DECEMBER,TriStar Pictures,Live action
57,122,Casper,1995,PG,Brad Silberling,Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle,100,"Comedy, Family, Fantasy            ",49,6.1,"136,380",100.33,MAY,Universal Pictures / The Harvey Entertainment Company / Amblin Entertainment,Live action/Animation
58,125,Se7en,1995,R,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,127,"Crime, Drama, Mystery            ",65,8.6,"1,645,175",100.13,,,
59,126,Die Hard with a Vengeance,1995,R,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,128,"Action, Adventure, Thriller            ",58,7.6,"388,664",100.01,MAY,20th Century Fox / Touchstone Pictures / Cinergi Pictures,Live action
60,5,Independence Day,1996,PG-13,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,145,"Action, Adventure, Sci-Fi            ",59,7.0,"576,567",306.17,JULY,20th Century Fox / Centropolis Entertainment,Live action
61,10,Twister,1996,PG-13,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,113,"Action, Adventure, Thriller            ",68,6.4,"198,092",241.72,MAY,Warner Bros. Pictures / Universal Pictures / Amblin Entertainment,Live action
62,25,Mission: Impossible,1996,PG-13,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,110,"Action, Adventure, Thriller            ",59,7.1,"427,824",180.98,MAY,Paramount Pictures,Live action
63,40,Jerry Maguire,1996,R,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,139,"Comedy, Drama, Romance            ",77,7.3,"268,132",153.95,DECEMBER,TriStar Pictures,Live action
64,56,Ransom,1996,R,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte,121,"Action, Crime, Thriller            ",60,6.7,"129,513",136.49,NOVEMBER,Touchstone Pictures / Imagine Entertainment,Live action
65,58,101 Dalmatians,1996,G,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,103,"Adventure, Comedy, Crime            ",49,5.7,"112,162",136.19,NOVEMBER,Walt Disney Pictures / Great Oaks Entertainment,Live action
66,61,The Rock,1996,R,Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer,136,"Action, Adventure, Thriller            ",58,7.4,"339,850",134.07,JUNE,Hollywood Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
67,66,The Nutty Professor,1996,PG-13,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,95,"Comedy, Romance, Sci-Fi            ",62,5.7,"118,058",128.81,JUNE,Universal Pictures / Imagine Entertainment,Live action
68,73,The Birdcage,1996,R,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest,117,Comedy            ,72,7.2,"91,038",124.06,MARCH,United Artists,Live action
69,93,A Time to Kill,1996,R,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,149,"Crime, Drama, Thriller            ",54,7.5,"162,576",108.77,JULY,Warner Bros. Pictures / Regency Enterprises,Live action
70,0,Titanic,1997,PG-13,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,194,"Drama, Romance            ",75,7.9,"1,169,765",659.33,DECEMBER,20th Century Fox / Paramount Pictures,Live action
